class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,305120555613317120,155.01623,-0.79317197,0.1269406,1,-5.394643,-2.765203,-0.01083775,-3.350545,2.1014,0.5758029,4.011295,-0.06422728
GALAXY,305161787299358720,154.64153,-0.31100052,0.1259409,55.3891,23.00303,47.63653,45.3214,156.7241,32.10464,19.09331,6.348015,-23.78421
GALAXY,305170033636567040,154.41195,-0.39887066,0.09397987,194.4335,10.39573,17.95226,5.112003,8.089769,11.71134,-3.296382,5.207446,-0.358568
GALAXY,305182952898193408,154.27577,-0.50346982,0.1811558,205.7448,7.780988,31.16212,13.63797,82.36948,6.442086,5.052835,-0.9992745,-6.70971
GALAXY,305185151921448960,153.74693,-1.1276709,0.08320795,1,2.045685,-0.3946716,16.28094,15.8192,2.839876,-4.975346,-4.579982,-0.3584347
GALAXY,305185976555169792,153.89822,-1.0015006,0.08365821,70.70318,5.493429,17.61036,6.563713,18.49851,3.716077,6.267244,2.224383,-1.041265
GALAXY,305186251433076736,153.83149,-1.0094098,0.1642963,102.6718,11.71105,31.79402,22.54859,114.1371,5.009541,8.169399,2.220329,-13.83792
GALAXY,305190924357494784,153.98011,-0.34360948,0.08474965,185.4955,7.472835,65.21143,-2.508944,38.20086,13.93492,16.18656,6.580477,-1.174875
GALAXY,305199720450516992,153.62047,-0.89379579,0.09821554,120.3092,0.4765853,2.140843,3.45002,2.955565,-0.1582755,2.457611,-0.2759177,-0.3817156
GALAXY,305210165810980864,153.75967,0.96829155,0.02119927,42.68017,119.0664,36.53754,72.986,230.2601,50.7296,34.68106,9.788106,-18.36893
GALAXY,305218961904003072,153.87525,1.0218997,0.07115626,43.17152,38.88104,17.08094,34.61433,105.7018,23.51015,13.77557,6.653671,-23.99655
GALAXY,306247830882772992,156.79417,-0.69156944,0.1124126,60.49388,4.669401,29.5463,24.49279,80.41215,7.465169,9.561283,0.7038952,-11.83156
GALAXY,306251129417656320,157.17812,-0.1445646,0.03452292,41.57117,168.6549,22.94749,65.62668,243.3497,43.22475,31.48068,10.93343,-42.48846
GALAXY,306258825999050752,156.47701,-0.6542368,0.1600647,167.8808,7.117916,-2.185357,2.083359,12.47219,2.505643,-5.595979,0.1937902,-1.229205
GALAXY,306264873313003520,156.81631,0.012906627,0.09857899,61.6386,12.31319,53.2392,40.89266,166.7829,33.88485,24.52845,6.828918,-19.49758
GALAXY,306322872551368704,154.83497,-0.78638554,0.06286128,137.6154,9.410243,145.6684,35.98271,221.866,43.92076,32.58275,13.20016,-9.743425
GALAXY,306341289371133952,154.70108,0.38079561,0.07070462,171.5214,7.737573,25.16515,-3.737767,56.24881,8.205456,-0.4062056,2.708868,-1.549518
GALAXY,306367952528107520,156.20677,0.86660501,0.09453972,89.4585,14.79365,59.73671,41.75701,171.8867,36.90695,31.53758,4.924601,-17.26732
